Lambda,f,avg_w_phi
0.0001,0.1,-0.9999999998853737
0.0001,0.3,-0.9999999999825667
0.0001,0.6,-0.9999999999999585
0.0001,1.0,-0.9999999999995246
0.0003,0.1,-0.9999999907153593
0.0003,0.3,-0.9999999985879103
0.0003,0.6,-0.9999999999966434
0.0003,1.0,-0.9999999999615019
0.001,0.1,-0.9999988538743619
0.001,0.3,-0.999999825674669
0.001,0.6,-0.9999999995856896
0.001,1.0,-0.9999999952479695
0.003,0.1,-0.9999072544452423
0.003,0.3,-0.9999858844660686
0.003,0.6,-0.9999999665002008
0.003,1.0,-0.9999996156611405
