Lambda,f,phi0,R
0.2,1.0,0.0,368986806463071.25
0.2,1.0,0.5,368986806463071.25
0.2,1.0,1.0,368986806463071.25
0.2,5.0,0.0,368986806463071.25
0.2,5.0,0.5,368986806463071.25
0.2,5.0,1.0,368986806463071.25
0.2,10.0,0.0,368986806463071.25
0.2,10.0,0.5,368986806463071.25
0.2,10.0,1.0,368986806463071.25
0.3,1.0,0.0,368986806463071.25
0.3,1.0,0.5,368986806463071.25
0.3,1.0,1.0,368986806463071.25
0.3,5.0,0.0,368986806463071.25
0.3,5.0,0.5,368986806463071.25
0.3,5.0,1.0,368986806463071.25
0.3,10.0,0.0,368986806463071.25
0.3,10.0,0.5,368986806463071.25
0.3,10.0,1.0,368986806463071.25
0.4,1.0,0.0,368986806463071.25
0.4,1.0,0.5,368986806463071.25
0.4,1.0,1.0,368986806463071.25
0.4,5.0,0.0,368986806463071.25
0.4,5.0,0.5,368986806463071.25
0.4,5.0,1.0,368986806463071.25
0.4,10.0,0.0,368986806463071.25
0.4,10.0,0.5,368986806463071.25
0.4,10.0,1.0,368986806463071.25
