,z,a,H_natural,H_obs_km_s_Mpc
799,0.0,1.0,0.3162965202997803,24958958.416855663
798,0.008799440641148681,0.9912773141155231,0.3204804020205053,25289108.523438074
797,0.01767631143789372,0.9826307134800863,0.3247196454562187,25623627.222950216
796,0.02663129373229456,0.9740595344259602,0.32901498305208726,25962572.312640205
795,0.03566507486183679,0.9655631190743835,0.33336715694801,26306002.354767468
794,0.04477834821219351,0.9571408152850627,0.3377769191069493,26653976.686729368
793,0.05397181327044409,0.9487919766061189,0.3422450314449591,27006555.43132172
792,0.06324617567876034,0.9405159622244726,0.34677226596293464,27363799.50713517
791,0.07260214728857317,0.9323121369166528,0.3513594048801122,27725770.63908965
790,0.08204044621520756,0.9241798710000434,0.35600724076933277,28092531.369108047
789,0.09156179689299959,0.9161185402845544,0.3607165766940982,28464145.06693129
788,0.10116693013090416,0.9081275260247076,0.36548822634744704,28840675.941077046
787,0.11085658316858704,0.9002062148721469,0.3703230141926658,29222189.049943257
786,0.12063149973300735,0.892353998828564,0.3752217756058645,29608750.313058767
785,0.13049243009550948,0.8845702751990255,0.38018535702044615,30000426.522483405
784,0.1404401311294019,0.87685444654572,0.3852146160734823,30397285.354358487
783,0.15047536636805803,0.8692059206420956,0.3903104217540361,30799395.380610988
782,0.16059890606351757,0.8616241104274069,0.39547365455344474,31206826.080812324
781,0.17081152724560478,0.8541084339616576,0.4007052066175933,31619647.854194287
780,0.1811140137815752,0.8466583143809275,0.40600598190121107,32037932.031824566
779,0.1915071564362738,0.8392731798531028,0.4113768963242043,32461750.888942964
778,0.2019917529328379,0.8319524635339788,0.41681887793006855,32891177.65746171
777,0.21256860801392063,0.8246956035237551,0.422332867046394,33326286.53863095
776,0.22323853350345857,0.817502042823909,0.4279198164474976,33767152.715872034
775,0.2340023483689868,0.8103712292944386,0.43358069151921547,34213852.36778129
774,0.24486087878449792,0.8033026156114859,0.4393164704258725,34666462.6813056
773,0.25581495819384936,0.7962956592253289,0.44512814427946623,35125061.86509268
772,0.2668654273747417,0.7893498223187345,0.45101671731109555,35589729.16301855
771,0.27801313450324927,0.7824645717656805,0.456983207044657,36060544.86789388
770,0.2892589352189179,0.7756393790904375,0.46302864447284214,36537590.335351974
769,0.3006036926904472,0.768873720427001,0.4691540742354732,37020947.99792119
768,0.31204827768193466,0.7621670764788877,0.47536055480019257,37510701.3792832
767,0.3235935686197171,0.7555189324792729,0.4816491586455557,38006935.1087208
766,0.33524045165979244,0.748928778151481,0.48802097244654397,38509734.93575679
765,0.3469898207558324,0.7423961076698211,0.4944770972625367,39019187.74498677
764,0.3588425777278048,0.735920419620759,0.5010186487277789,39535381.571109034
763,0.37079963233118507,0.7295012169644354,0.5076467572443648,40058405.61415283
762,0.38286190232679074,0.7231380069965115,0.5143625681777878,40588350.25490923
761,0.3950303135512212,0.7168303013103543,0.521167242055075,41125307.07056597
760,0.40730579998791705,0.7105776157595498,0.5280619547655487,41669368.85054945
759,0.41968930383885406,0.7043794704207392,0.5350478977642533,42220629.61257723
758,0.432181775596858,0.6982353895567849,0.5421262782780721,42779184.61892267
757,0.4447841741185563,0.6921449015802563,0.5492983195145764,43345130.39289522
756,0.4574974666979823,0.6861075390172302,0.5565652608736488,43918564.73553962
755,0.4703226291408158,0.6801228384714114,0.5639283581619037,44499586.74255582
754,0.48326064583927675,0.6741903405885671,0.571388883809951,45088296.82144324
753,0.4963125098476917,0.6683095900212644,0.5789481270925453,45684796.70887275
752,0.5094792229587033,0.662480135393926,0.5866073943516427,46289189.48828812
751,0.5227617957801742,0.6567015292681797,0.594368009222425,46901579.607741565
750,0.5361612478127511,0.6509733281085177,0.6022313128623131,47522072.897965126
749,0.5496786075281108,0.6452950922482552,0.6101986641830124,48150776.59068151
748,0.5633149124479127,0.6396663858557791,0.6182714400856467,48787799.33715838
747,0.5770712092234194,0.634086776901101,0.6264510356989926,49433251.22700751
746,0.5909485537158441,0.6285558371226929,0.634738864620886,50087243.807234116
745,0.6049480110773882,0.6230731419946173,0.6431363591628199,50749890.101538114
744,0.6190706558329921,0.6176382706939446,0.6516449705977845,51421304.629871175
743,0.6333175719628188,0.6122508060684504,0.660266169411399,52101603.4282535
742,0.6476898529854507,0.6069103346045975,0.6690014455563676,52790904.06885297
741,0.662188602041818,0.6016164463957994,0.6778523087103051,53489325.68033018
740,0.6768149319798773,0.5963687351109541,0.6868202885369902,54196988.96845389
739,0.6915699654400262,0.5911667979632584,0.6959069349510749,54914016.23698932
738,0.7064548349412645,0.5860102356792933,0.705113818386301,55640531.408863015
737,0.7214706829681314,0.5808986524683746,0.7144425300672822,56376660.04760924
736,0.7366186620583857,0.5758316559921776,0.7238946822848774,57122529.379099675
735,0.7518999348914779,0.5708088573346202,0.7334719086752258,57878268.31356207
734,0.7673156743777878,0.5658298709720131,0.7431758645024741,58644007.46789023
733,0.7828670637486455,0.5608943147434706,0.7530082269452509,59419879.18824975
732,0.7985552966471607,0.5560018098215744,0.7629706953869502,60206017.57298424
731,0.8143815772198295,0.5511519806833006,0.7730649917098472,61002558.49582405
730,0.8303471202089678,0.5463444550811933,0.7832928605931306,61809639.62940394
729,0.8464531510459441,0.5415788640147944,0.7936560698148749,62627400.46909178
728,0.8627009059452333,0.536854841702322,0.8041564105580173,63455982.35713315
727,0.879091631999311,0.5321720255525925,0.8147956977204022,64295528.507116936
726,0.8956265872743683,0.5275300561371914,0.8255757702289237,65146184.02876437
725,0.9123070409068708,0.5229285771628867,0.836498491357839,66008095.95304708
724,0.9291342732009795,0.5183672354442789,0.8475657490513081,66881413.25763872
723,0.946109575726817,0.5138456808766938,0.8587794562502029,67766286.89270352
722,0.9632342514195946,0.5093635664093117,0.8701415512232498,68662869.80702664
721,0.9805096146796319,0.5049205480185263,0.8816539979025743,69571316.97449213
720,0.9979369914732277,0.5005162846815432,0.8933187862236778,70491785.42091042
719,1.0155177194344498,0.4961504383502012,0.9051379324699439,71424434.25120327
718,1.0332531479677969,0.4918226739250268,0.9171134796216975,72369424.67694816
717,1.0511446383517664,0.4875326592295157,0.9292474977098956,73326920.04428786
716,1.0691935638433532,0.48328006498463294,0.9415420841745198,74297085.86221136
715,1.0874013097834383,0.4790645647835428,0.9539993642277065,75280089.83120832
714,1.1057692737031322,0.4748858350665527,0.9666214912217083,76276101.872305
713,1.1242988654310375,0.4707435550962797,0.9794106470217252,77285294.15648434
712,1.1429915072014558,0.4666374069330333,0.9923690423836826,78307841.13449639
711,1.161848633763559,0.46256707541041,1.0054989173370286,79343919.56706493
710,1.1808716924915101,0.4585322481111038,1.0188025415725983,80393708.55549373
709,1.2000621434955487,0.45453261534292805,1.0322822148356257,81457389.57267922
708,1.219421459734074,0.45056787011504235,1.0459402673239757,82535146.49453492
707,1.238951127126696,0.446637708114391,1.0597790600916528,83627165.63183232
706,1.2586526446682784,0.4427418276823469,1.0738009854576576,84733635.76246376
705,1.2785275245440109,0.43887992979155455,1.0880084674202826,85854748.1641345
704,1.2985772922454575,0.4350517180229819,1.102403962076886,86990696.64748707
703,1.3188034866876612,0.43125689854316585,1.1169899580492504,88141677.58966635
702,1.3392076603272582,0.42749518008166004,1.1317689769145771,89307889.96832928
701,1.3597913792816265,0.4237662739086802,1.1467435736421911,90489535.3961053
700,1.3805562234491093,0.42006989381293963,1.1619163370360612,91686818.1555156
699,1.4015037866302653,0.4164057560796841,1.1772898901831665,92899945.23435368
698,1.4226356766502102,0.4127735794689133,1.1928668909078337,94129126.36153716
697,1.4439535154820229,0.4091730851937948,1.2086500322320897,95374574.0434342
696,1.4654589393712318,0.40560399689926735,1.2246420428421219,96636503.60067184
695,1.4871535989614162,0.40206604064082707,1.2408456875609413,97915133.20543388
694,1.5090391594208965,0.3985589448635018,1.2572637678273055,99210683.91925268
693,1.531117300570536,0.39508244038100926,1.2738991221809952,100523379.73130234
692,1.5533897170126894,0.39163626035509347,1.2907546267545458,101853447.59720121
691,1.5758581182612619,0.3882201402750448,1.3078331957714906,103201117.47832832
690,1.5985242288729204,0.3848338179373984,1.3251377820512167,104566622.3816615
689,1.6213897885794748,0.38147703342580647,1.3426713775205352,105950198.40014544
688,1.6444565524213908,0.3781495290910914,1.3604370137320185,107352084.75359358
687,1.6677262908825177,0.37485104953146725,1.378437762389243,108772523.83013517
686,1.6912007900259702,0.37158134157293776,1.3966767358789824,110211761.22821051
685,1.7148818516312136,0.3683401542498649,1.41515708781047,111670045.79912418
684,1.7387712933323747,0.3651272387857035,1.4338820135618326,113147629.69016421
683,1.7628709487577323,0.3619423485739098,1.4528547508337522,114644768.38829139
682,1.787182667670478,0.35878523915901,1.472078580210505,116161720.76441094
681,1.8117083161106828,0.35565566821783906,1.4915568257284286,117698749.1182303
680,1.836449776538521,0.3525533955409414,1.5112928554519387,119256119.22371249
679,1.8614089479787688,0.3494781830141323,1.5312900820572033,120834100.37513392
678,1.88658774616656,0.3464297946002223,1.5515519634235564,122432965.43375283
677,1.911988103694418,0.34340799632090097,1.5720820032327583,124052990.87509696
676,1.9376119701606052,0.3404125562387765,1.5928837515762306,125694456.83688036
675,1.9634613123187616,0.3374432444395738,1.6139608055703392,127357647.16755547
674,1.9895381142288486,0.33449983301448893,1.635316809979841,129042849.47550926
673,2.015844377409457,0.33158209604269356,1.656955457849634,130750355.17891462
672,2.0423821209914115,0.32868980957399696,1.6788804911448645,132480459.55624126
671,2.069153381872765,0.32582275161165475,1.7010957013995613,134233461.7974394
670,2.096160214875135,0.32298070209533036,1.72360493037387,136009665.05580208
669,2.1234046929014125,0.32016344288420523,1.7464120707200088,137809376.5005159
668,2.150888907094884,0.31737075774023366,1.7695210666570897,139632907.36991096
667,2.178614966999717,0.31460243231154744,1.7929359146548765,141480573.0254163
666,2.2065850007228947,0.3118582541160017,1.8166606641266478,143352693.00623378
665,2.2348011550975535,0.30913801252486645,1.8406994181312482,145249591.0847368
664,2.263265595847751,0.3064414987466608,1.8650563340844573,147171595.32260454
663,2.2919805077547135,0.30376850581112563,1.8897356244798318,149119038.12770352
662,2.32094809482452,0.30111882855333827,1.9147415576191038,151092256.31172347
661,2.3501705804572617,0.2984922635979661,1.9400784583522759,153091591.14857808
660,2.379650207617715,0.29588860934365485,1.965750708827573,155117388.4335838
659,2.4093892390074934,0.2933076659475554,1.991762749251337,157169998.543423
658,2.4393899572387077,0.2907492353099861,2.018119078658009,159249776.49690348
657,2.469654665009193,0.2882131210592252,2.044824255690377,161357082.01652765
656,2.5001856852792237,0.2856991285364411,2.071882899390142,163492279.5908761
655,2.5309853614498325,0.28320706478074925,2.099299689999029,165655738.53782338
654,2.5620560575426756,0.28073673851440206,2.1270793697705277,167847833.06859234
653,2.5934001583814634,0.27828796012810864,2.1552267437923978,170068942.3526581
652,2.625020069775036,0.2758605416664793,2.1837466808201498,172319450.58351803
651,2.6569182187019913,0.27345429681360117,2.2126441141215496,174599747.04533148
650,2.6890970534969916,0.27106904087873585,2.241924042332395,176910226.18044928
649,2.721559044038675,0.2687045907821442,2.2715915303236303,179251287.65783766
648,2.7543066819392203,0.2663607650410349,2.3016517100799883,181623336.44241187
647,2.7873424807356098,0.2640373837556332,2.3321097815903373,184026782.86529353
646,2.8206689760825436,0.26173426859537374,2.362971013749832,186462042.69499925
645,2.854288725947057,0.2594512427852132,2.3942407452740593,188929537.209576
644,2.888204310804874,0.25718813109206085,2.4259243856253607,191429693.26969722
643,2.92241833383846,0.25494475981132914,2.4580274159514395,193962943.3927281
642,2.9569334211368212,0.25272095675360173,2.490555390036448,196529725.82777613
641,2.9917522218970927,0.2505165512314156,2.523513935264748,199130484.6317413
640,3.026877408627846,0.24833137404616173,2.5569087535974377,201765669.7463738
639,3.062311677354246,0.24616525747509674,2.5907456225619083,204435737.0763602
638,3.09805774782497,0.24401803525847007,2.625030396254527,207141148.56844473
637,3.134118363720952,0.24188954258676346,2.6597690063566515,209882372.29160336
636,3.170496292865997,0.2397796160880393,2.6949674631641862,212659882.51828593
635,3.2071943274391996,0.23768809381540307,2.7306318566307795,215474159.8067348
634,3.2442152841892744,0.23561481523457142,2.7667683574249464,218325691.08440253
633,3.2815620046507537,0.23355962121155122,2.803383218001214,221214969.73247582
632,3.3192373553620733,0.23152235400042562,2.8404827736855105,224142495.67152363
631,3.3572442280856096,0.22950285723124544,2.878073443775023,227108775.44828707
630,3.3955855400296375,0.22750097589802734,2.916161732652656,230114322.3236211
629,3.4342642340722156,0.2255165563468571,2.9547542309163064,233159656.36160573
628,3.4732832789870995,0.22354944626409473,2.9938576165231985,236245304.5198456
627,3.5126456696715893,0.2215994946646843,3.033478655949406,239371800.74096763
