Lambda,f,phi0,R
0.1,1.0,0.1,1.6177019122504703e-11
0.1,1.0,1.0,1.61760874353498e-11
0.1,1.0,3.0,1.617295185060459e-11
0.1,5.0,0.1,1.6177028948932234e-11
0.1,5.0,1.0,1.617698848741268e-11
0.1,5.0,3.0,1.617667124536118e-11
0.1,10.0,0.1,1.6177029256480057e-11
0.1,10.0,1.0,1.6177019115244723e-11
0.1,10.0,3.0,1.617693777956564e-11
0.2,1.0,0.1,1.617686732566529e-11
0.2,1.0,1.0,1.6162119191382178e-11
0.2,1.0,3.0,1.6112481766618177e-11
0.2,5.0,0.1,1.6177022800712793e-11
0.2,5.0,1.0,1.6176375762493428e-11
0.2,5.0,3.0,1.617130716863532e-11
0.2,10.0,0.1,1.6177027718822507e-11
0.2,10.0,1.0,1.6176865480895417e-11
0.2,10.0,3.0,1.617556459451293e-11
0.3,1.0,0.1,1.617624599861942e-11
0.3,1.0,1.0,1.610489202791942e-11
0.3,1.0,3.0,1.5864431327008943e-11
0.3,5.0,0.1,1.6176996219702276e-11
0.3,5.0,1.0,1.6173728159305788e-11
0.3,5.0,3.0,1.6148226498533342e-11
0.3,10.0,0.1,1.6177021059475348e-11
0.3,10.0,1.0,1.6176200208697112e-11
0.3,10.0,3.0,1.6169625072064225e-11
