f,Lambda,phi0,chi2
0.5,0.35,1.2,394.52705941099214
0.5,0.38,1.2,455.5216891566449
0.6,0.35,1.2,495.809413924081
0.6,0.38,1.2,524.7771029137817
0.5,0.41,1.2,545.7979721478662
0.7,0.38,1.2,564.7202236854821
0.7,0.35,1.2,577.329868171195
0.7,0.41,1.2,598.5344505936383
0.6,0.41,1.2,608.2585556815819
0.5,0.35,1.0,667.7116919946974
0.5,0.38,1.0,685.0392853740567
0.6,0.38,1.0,715.8266581135651
0.5,0.41,1.0,731.4175301162011
0.6,0.41,1.0,746.8320008444368
0.6,0.35,1.0,778.2920004219533
0.7,0.35,0.8,796.1617189457563
0.7,0.38,1.0,806.6711888089276
0.7,0.41,1.0,830.4539475843617
0.5,0.41,0.8,861.4732882319602
0.7,0.35,1.0,882.2043836282884
0.6,0.35,0.8,911.3292344905717
0.5,0.35,0.8,944.408151436714
0.7,0.38,0.8,964.6285438504497
0.6,0.38,0.8,1110.2177928210622
0.5,0.38,0.8,1130.4806228891723
0.7,0.41,0.8,1131.1776448880055
0.6,0.41,0.8,1162.4865754396578
