# z,H(z)
0.000000000000000000e+00,9.063420687893891641e-19
1.005025125628140718e-02,9.045519042827089934e-19
2.010050251256281437e-02,9.027617397760286301e-19
3.015075376884421982e-02,9.009715752693484593e-19
4.020100502512562873e-02,8.991814107626680960e-19
5.025125628140703765e-02,8.973912462559879252e-19
6.030150753768843963e-02,8.956010817493075619e-19
7.035175879396984855e-02,8.938109172426273912e-19
8.040201005025125747e-02,8.920207527359470278e-19
9.045226130653266639e-02,8.902305882292668571e-19
1.005025125628140753e-01,8.884404237225864937e-19
1.105527638190954842e-01,8.866502592159063230e-19
1.206030150753768793e-01,8.848600947092259597e-19
1.306532663316583021e-01,8.830699302025457889e-19
1.407035175879396971e-01,8.812797656958654256e-19
1.507537688442211199e-01,8.794896011891852548e-19
1.608040201005025149e-01,8.776994366825048915e-19
1.708542713567839100e-01,8.759092721758247208e-19
1.809045226130653328e-01,8.741191076691443574e-19
1.909547738693467278e-01,8.723289431624641867e-19
2.010050251256281506e-01,8.705387786557838233e-19
2.110552763819095456e-01,8.687486141491036526e-19
2.211055276381909684e-01,8.669584496424233856e-19
2.311557788944723635e-01,8.651682851357431185e-19
2.412060301507537585e-01,8.633781206290628515e-19
2.512562814070351536e-01,8.615879561223825844e-19
2.613065326633166041e-01,8.597977916157023174e-19
2.713567839195979992e-01,8.580076271090220504e-19
2.814070351758793942e-01,8.562174626023417833e-19
2.914572864321607892e-01,8.544272980956615163e-19
3.015075376884422398e-01,8.526371335889812492e-19
3.115577889447236348e-01,8.508469690823009822e-19
3.216080402010050299e-01,8.490568045756208115e-19
3.316582914572864249e-01,8.472666400689404481e-19
3.417085427135678199e-01,8.454764755622602774e-19
3.517587939698492705e-01,8.436863110555799140e-19
3.618090452261306655e-01,8.418961465488997433e-19
3.718592964824120606e-01,8.401059820422194763e-19
3.819095477386934556e-01,8.383158175355392092e-19
3.919597989949749062e-01,8.365256530288589422e-19
4.020100502512563012e-01,8.347354885221786751e-19
4.120603015075376963e-01,8.329453240154984081e-19
4.221105527638190913e-01,8.311551595088181411e-19
4.321608040201004863e-01,8.293649950021378740e-19
4.422110552763819369e-01,8.275748304954576070e-19
4.522613065326633319e-01,8.257846659887773399e-19
4.623115577889447270e-01,8.239945014820970729e-19
4.723618090452261220e-01,8.222043369754168059e-19
4.824120603015075170e-01,8.204141724687365388e-19
4.924623115577889676e-01,8.186240079620562718e-19
5.025125628140703071e-01,8.168338434553760047e-19
5.125628140703517577e-01,8.150436789486957377e-19
5.226130653266332082e-01,8.132535144420154707e-19
5.326633165829145478e-01,8.114633499353352999e-19
5.427135678391959983e-01,8.096731854286549366e-19
5.527638190954774489e-01,8.078830209219746695e-19
5.628140703517587884e-01,8.060928564152944025e-19
5.728643216080402389e-01,8.043026919086142318e-19
5.829145728643215785e-01,8.025125274019339647e-19
5.929648241206030290e-01,8.007223628952536977e-19
6.030150753768844796e-01,7.989321983885734306e-19
6.130653266331658191e-01,7.971420338818931636e-19
6.231155778894472697e-01,7.953518693752128966e-19
6.331658291457286092e-01,7.935617048685326295e-19
