# z,fσ8(z)
0.000000000000000000e+00,5.201398863428231545e-01
2.020202020202020374e-02,5.242998672890918366e-01
4.040404040404040747e-02,5.376457848220744795e-01
6.060606060606060774e-02,5.508738178926155804e-01
8.080808080808081495e-02,5.639678559143370684e-01
1.010101010101010222e-01,5.769137654659284298e-01
1.212121212121212155e-01,5.896991762515469970e-01
1.414141414141414366e-01,6.023132917672264774e-01
1.616161616161616299e-01,6.147467215431818843e-01
1.818181818181818232e-01,6.269913322677849177e-01
2.020202020202020443e-01,6.390434555530141170e-01
2.222222222222222376e-01,6.509085914669313633e-01
2.424242424242424310e-01,6.625713497575429489e-01
2.626262626262626521e-01,6.740027676482887031e-01
2.828282828282828731e-01,6.851873290666876670e-01
3.030303030303030387e-01,6.961126404437208981e-01
3.232323232323232598e-01,7.067678147443748893e-01
3.434343434343434809e-01,7.171433284003244646e-01
3.636363636363636465e-01,7.272308924113938255e-01
3.838383838383838675e-01,7.370233360861488947e-01
4.040404040404040886e-01,7.465145020729359038e-01
4.242424242424242542e-01,7.556991514904748408e-01
4.444444444444444753e-01,7.645728781045491029e-01
4.646464646464646964e-01,7.731320306174258583e-01
4.848484848484848619e-01,7.813736422421316830e-01
5.050505050505050830e-01,7.892953668256790234e-01
5.252525252525253041e-01,7.968954208666807482e-01
5.454545454545455252e-01,8.041725308440000886e-01
5.656565656565657463e-01,8.111258853359534227e-01
5.858585858585858563e-01,8.177550914651621206e-01
6.060606060606060774e-01,8.240601352530319001e-01
6.262626262626262985e-01,8.300413455115406292e-01
6.464646464646465196e-01,8.356993609381143662e-01
6.666666666666667407e-01,8.410350944002471518e-01
6.868686868686869618e-01,8.460300575757422337e-01
7.070707070707071829e-01,8.506436409589696046e-01
7.272727272727272929e-01,8.548590509943528870e-01
7.474747474747475140e-01,8.586783288218846621e-01
7.676767676767677351e-01,8.620970663385590926e-01
7.878787878787879562e-01,8.651115075308350999e-01
8.080808080808081773e-01,8.677184979750564020e-01
8.282828282828283983e-01,8.699154382259456364e-01
8.484848484848485084e-01,8.717002407715904733e-01
8.686868686868687295e-01,8.730712902623780636e-01
8.888888888888889506e-01,8.740274067475038988e-01
9.090909090909091717e-01,8.745678116763290211e-01
9.292929292929293927e-01,8.746920964431734724e-01
9.494949494949496138e-01,8.744001932734731808e-01
9.696969696969697239e-01,8.736923482667202645e-01
9.898989898989899450e-01,8.725690964274316341e-01
1.010101010101010166e+00,8.710312385296457016e-01
1.030303030303030498e+00,8.690798196735916026e-01
1.050505050505050608e+00,8.667161094050001013e-01
1.070707070707070718e+00,8.639415113382371558e-01
1.090909090909091050e+00,8.602105147743185354e-01
1.111111111111111160e+00,8.553062319922772883e-01
1.131313131313131493e+00,8.501598328247383929e-01
1.151515151515151603e+00,8.453540305234288343e-01
1.171717171717171713e+00,8.408343477482097539e-01
1.191919191919192045e+00,8.365491221892252804e-01
1.212121212121212155e+00,8.324493601296021339e-01
1.232323232323232487e+00,8.284885984266580072e-01
1.252525252525252597e+00,8.246227743713039349e-01
1.272727272727272929e+00,8.208101029237856450e-01
1.292929292929293039e+00,8.170109608600183426e-01
1.313131313131313149e+00,8.131877773955972222e-01
1.333333333333333481e+00,8.093049308847850565e-01
1.353535353535353591e+00,8.053286512200815705e-01
1.373737373737373924e+00,8.012269275836144677e-01
1.393939393939394034e+00,7.969694212257539823e-01
1.414141414141414366e+00,7.924402539774413334e-01
1.434343434343434476e+00,7.871896791794230630e-01
1.454545454545454586e+00,7.810815361217302577e-01
1.474747474747474918e+00,7.743179580784208538e-01
1.494949494949495028e+00,7.668895050015794856e-01
1.515151515151515360e+00,7.587579972123826844e-01
1.535353535353535470e+00,7.498873917203838779e-01
1.555555555555555580e+00,7.402436798012260732e-01
1.575757575757575912e+00,7.297947899432953855e-01
1.595959595959596022e+00,7.185104958464720859e-01
1.616161616161616355e+00,7.063623291712943786e-01
1.636363636363636465e+00,6.933234967497307055e-01
1.656565656565656797e+00,6.793688019798511668e-01
1.676767676767676907e+00,6.644745701366274737e-01
1.696969696969697017e+00,6.486100503547879148e-01
1.717171717171717349e+00,6.316519874176366178e-01
1.737373737373737459e+00,6.134381208193522284e-01
1.757575757575757791e+00,5.938502607887432561e-01
1.777777777777777901e+00,5.727696559818492572e-01
1.797979797979798233e+00,5.500766147859655897e-01
1.818181818181818343e+00,5.256572211635766045e-01
1.838383838383838453e+00,4.994030883350820682e-01
1.858585858585858785e+00,4.712111214826551486e-01
1.878787878787878896e+00,4.409760451986246554e-01
1.898989898989899228e+00,4.084263110558408183e-01
1.919191919191919338e+00,3.733039226146759315e-01
1.939393939393939448e+00,3.354513777897774607e-01
1.959595959595959780e+00,2.945899432717487554e-01
1.979797979797979890e+00,2.503900886988656427e-01
2.000000000000000000e+00,2.268160215497958265e-01
